"ID";"Vermogensklassen";"KenmerkenVanHetHuishouden";"Perioden";"Aantal_1";"AantalPersonen_2";"Totaal_3";"Gemiddeld_4";"k_50ePercentielMediaan_5"
"0";"   1";"   1";"2006JJ00";"7063";"2.3";"1113.6";"158";"38"
"1";"   1";"   1";"2007JJ00";"7109";"2.3";"1223.8";"172";"43"
"2";"   1";"   1";"2008JJ00";"7166";"2.2";"1299.6";"181";"47"
"3";"   1";"   1";"2009JJ00";"7242";"2.2";"1248.5";"172";"42"
"4";"   1";"   1";"2010JJ00";"7303";"2.2";"1213.4";"166";"33"
"5";"   1";"   1";"2011XX00";"7337";"2.2";"1168.4";"159";"30"
"6";"   1";"   1";"2011JJ00";"7337";"2.2";"1191.1";"162";"30"
"7";"   1";"   1";"2012JJ00";"7406";"2.2";"1166.3";"157";"27"
"8";"   1";"  22";"2006JJ00";"2436";"1";"219.6";"90";"9"
"9";"   1";"  22";"2007JJ00";"2473";"1";"245.8";"99";"10"
"10";"   1";"  22";"2008JJ00";"2511";"1";"249.6";"99";"11"
"11";"   1";"  22";"2009JJ00";"2561";"1";"253.5";"99";"11"
"12";"   1";"  22";"2010JJ00";"2599";"1";"255.3";"98";"10"
"13";"   1";"  22";"2011XX00";"2617";"1";"250.5";"96";"9"
"14";"   1";"  22";"2011JJ00";"2617";"1";"253.7";"97";"9"
"15";"   1";"  22";"2012JJ00";"2670";"1";"250.2";"94";"8"
"16";"   1";"  23";"2006JJ00";"1106";"1";"88.5";"80";"7"
"17";"   1";"  23";"2007JJ00";"1126";"1";"99.1";"88";"6"
"18";"   1";"  23";"2008JJ00";"1149";"1";"95";"83";"8"
"19";"   1";"  23";"2009JJ00";"1183";"1";"105.3";"89";"8"
"20";"   1";"  23";"2010JJ00";"1203";"1";"108.4";"90";"7"
"21";"   1";"  23";"2011XX00";"1217";"1";"104.2";"86";"6"
"22";"   1";"  23";"2011JJ00";"1222";"1";"105.9";"87";"5"
"23";"   1";"  23";"2012JJ00";"1254";"1";"104.7";"84";"5"
"24";"   1";"  24";"2006JJ00";"927";"1";"58.6";"63";"4"
"25";"   1";"  24";"2007JJ00";"941";"1";"65.5";"70";"4"
"26";"   1";"  24";"2008JJ00";"958";"1";"60.1";"63";"5"
"27";"   1";"  24";"2009JJ00";"985";"1";"67.6";"69";"5"
"28";"   1";"  24";"2010JJ00";"994";"1";"66";"66";"4"
"29";"   1";"  24";"2011XX00";"1007";"1";"62.2";"62";"3"
"30";"   1";"  24";"2011JJ00";"1009";"1";"63.7";"63";"3"
"31";"   1";"  24";"2012JJ00";"1027";"1";"60.9";"59";"3"
"32";"   1";"  25";"2006JJ00";"179";"1";"29.9";"167";"23"
"33";"   1";"  25";"2007JJ00";"185";"1";"33.6";"182";"25"
"34";"   1";"  25";"2008JJ00";"191";"1";"34.9";"182";"31"
"35";"   1";"  25";"2009JJ00";"198";"1";"37.7";"190";"38"
"36";"   1";"  25";"2010JJ00";"209";"1";"42.5";"203";"37"
"37";"   1";"  25";"2011XX00";"210";"1";"42";"200";"47"
"38";"   1";"  25";"2011JJ00";"213";"1";"42.3";"198";"44"
"39";"   1";"  25";"2012JJ00";"227";"1";"43.8";"193";"47"
"40";"   1";"  26";"2006JJ00";"1331";"1";"131.1";"99";"12"
"41";"   1";"  26";"2007JJ00";"1347";"1";"146.7";"109";"13"
"42";"   1";"  26";"2008JJ00";"1362";"1";"154.6";"114";"13"
"43";"   1";"  26";"2009JJ00";"1378";"1";"148.2";"108";"13"
"44";"   1";"  26";"2010JJ00";"1395";"1";"146.9";"105";"12"
"45";"   1";"  26";"2011XX00";"1399";"1";"146.3";"105";"12"
"46";"   1";"  26";"2011JJ00";"1394";"1";"147.8";"106";"12"
"47";"   1";"  26";"2012JJ00";"1416";"1";"145.4";"103";"11"
"48";"   1";"  27";"2006JJ00";"746";"1";"45.5";"61";"4"
"49";"   1";"  27";"2007JJ00";"758";"1";"54.4";"72";"5"
"50";"   1";"  27";"2008JJ00";"768";"1";"57.3";"75";"5"
"51";"   1";"  27";"2009JJ00";"778";"1";"53.2";"68";"5"
"52";"   1";"  27";"2010JJ00";"786";"1";"51.1";"65";"5"
"53";"   1";"  27";"2011XX00";"792";"1";"51.1";"65";"4"
"54";"   1";"  27";"2011JJ00";"785";"1";"47.9";"61";"4"
"55";"   1";"  27";"2012JJ00";"792";"1";"44.3";"56";"4"
"56";"   1";"  28";"2006JJ00";"585";"1";"85.7";"146";"22"
"57";"   1";"  28";"2007JJ00";"589";"1";"92.3";"157";"23"
"58";"   1";"  28";"2008JJ00";"594";"1";"97.4";"164";"23"
"59";"   1";"  28";"2009JJ00";"599";"1";"95";"158";"24"
"60";"   1";"  28";"2010JJ00";"609";"1";"95.8";"157";"24"
"61";"   1";"  28";"2011XX00";"607";"1";"95.1";"157";"24"
"62";"   1";"  28";"2011JJ00";"609";"1";"99.9";"164";"26"
"63";"   1";"  28";"2012JJ00";"624";"1";"101.1";"162";"28"
"64";"   1";"  29";"2006JJ00";"4626";"2.9";"894";"193";"86"
"65";"   1";"  29";"2007JJ00";"4636";"2.9";"978";"211";"94"
"66";"   1";"  29";"2008JJ00";"4655";"2.9";"1050";"226";"101"
"67";"   1";"  29";"2009JJ00";"4681";"2.9";"995";"213";"92"
"68";"   1";"  29";"2010JJ00";"4704";"2.9";"958.1";"204";"75"
"69";"   1";"  29";"2011XX00";"4721";"2.9";"917.9";"194";"66"
"70";"   1";"  29";"2011JJ00";"4720";"2.9";"937.4";"199";"67"
"71";"   1";"  29";"2012JJ00";"4736";"2.9";"916.2";"193";"62"
"72";"   1";"  30";"2006JJ00";"3971";"2.9";"811.5";"204";"102"
"73";"   1";"  30";"2007JJ00";"3969";"2.9";"889.9";"224";"112"
"74";"   1";"  30";"2008JJ00";"3983";"2.9";"954.8";"240";"120"
"75";"   1";"  30";"2009JJ00";"3998";"2.9";"898.7";"225";"111"
"76";"   1";"  30";"2010JJ00";"4002";"2.9";"863.2";"216";"94"
"77";"   1";"  30";"2011XX00";"4107";"2.9";"841.1";"205";"81"
"78";"   1";"  30";"2011JJ00";"4106";"2.9";"857.1";"209";"82"
"79";"   1";"  30";"2012JJ00";"4109";"2.9";"839.6";"204";"77"
"80";"   1";"  31";"2006JJ00";"2019";"2";"438.6";"217";"96"
"81";"   1";"  31";"2007JJ00";"2034";"2";"501.8";"247";"108"
"82";"   1";"  31";"2008JJ00";"2057";"2";"537.2";"261";"120"
"83";"   1";"  31";"2009JJ00";"2070";"2";"506.9";"245";"115"
"84";"   1";"  31";"2010JJ00";"2083";"2";"500.3";"240";"105"
"85";"   1";"  31";"2011XX00";"2114";"2";"490.1";"232";"96"
"86";"   1";"  31";"2011JJ00";"2107";"2";"490";"233";"97"
"87";"   1";"  31";"2012JJ00";"2113";"2";"485.9";"230";"96"
"88";"   1";"  32";"2006JJ00";"1348";"2";"256.1";"190";"81"
"89";"   1";"  32";"2007JJ00";"1346";"2";"296.8";"220";"90"
"90";"   1";"  32";"2008JJ00";"1350";"2";"306.8";"227";"94"
"91";"   1";"  32";"2009JJ00";"1339";"2";"279.7";"209";"83"
"92";"   1";"  32";"2010JJ00";"1327";"2";"261.8";"197";"67"
"93";"   1";"  32";"2011XX00";"1333";"2";"246.9";"185";"57"
"94";"   1";"  32";"2011JJ00";"1331";"2";"248.8";"187";"60"
"95";"   1";"  32";"2012JJ00";"1292";"2";"230.7";"179";"54"
"96";"   1";"  33";"2006JJ00";"671";"2";"182.5";"272";"142"
"97";"   1";"  33";"2007JJ00";"688";"2";"205";"298";"163"
"98";"   1";"  33";"2008JJ00";"707";"2";"230.4";"326";"187"
"99";"   1";"  33";"2009JJ00";"731";"2";"227.2";"311";"188"
